table_name , partition_name ,subpartition_name , num_rows , sample_size , last_analyzed , global_stats , stale_stats
FT_T_ATDS,FT_T_ATDS_P0,,0,,09-MAY-17,YES,NO
FT_T_ATEV,,,0,0,09-MAY-17,YES,NO
FT_T_ATEV,FT_T_ATEV_P0,,0,,09-MAY-17,YES,NO
FT_T_ATGP,,,0,0,09-MAY-17,YES,NO
FT_T_ATGR,,,0,0,09-MAY-17,YES,NO
FT_T_ATIF,,,0,0,09-MAY-17,YES,NO
FT_T_ATIN,,,0,0,09-MAY-17,YES,NO
FT_T_ATRC,,,0,0,09-MAY-17,YES,NO
FT_T_ATRG,,,0,0,09-MAY-17,YES,NO
FT_T_ATRL,,,0,0,09-MAY-17,YES,NO
FT_T_ATRN,,,0,0,09-MAY-17,YES,NO
FT_T_ATRN,FT_T_ATRN_P0,,0,,09-MAY-17,YES,NO
FT_T_AUCD,,,0,0,09-MAY-17,YES,NO
FT_T_AUD1,,,0,0,05-MAR-18,YES,NO
FT_T_AUGP,,,128,128,12-SEP-17,YES,NO
FT_T_AUGR,,,26,26,12-MAY-17,YES,NO
FT_T_AUOR,,,0,0,05-MAR-18,YES,NO
FT_T_AUPP,,,0,0,09-MAY-17,YES,NO
FT_T_AURL,,,0,0,09-MAY-17,YES,NO
FT_T_AURP,,,15989,15989,11-MAR-18,YES,NO
FT_T_AUSR,,,66,66,23-NOV-17,YES,NO
FT_T_AUST,,,0,0,09-MAY-17,YES,NO
FT_T_AUUR,,,0,0,09-MAY-17,YES,NO
FT_T_AVED,,,0,0,09-MAY-17,YES,NO
FT_T_AVID,,,0,0,09-MAY-17,YES,NO
FT_T_AVMO,,,0,0,09-MAY-17,YES,NO
FT_T_AVMX,,,0,0,09-MAY-17,YES,NO
FT_T_AVPS,,,0,0,09-MAY-17,YES,NO
FT_T_AWAS,,,0,0,09-MAY-17,YES,NO
FT_T_AWDF,,,0,0,09-MAY-17,YES,NO
FT_T_AWGP,,,0,0,09-MAY-17,YES,NO
FT_T_AWGR,,,0,0,09-MAY-17,YES,NO
FT_T_AXST,,,0,0,09-MAY-17,YES,NO
FT_T_AYGP,,,0,0,09-MAY-17,YES,NO
FT_T_AYGR,,,0,0,09-MAY-17,YES,NO
FT_T_BALH,,,0,0,05-MAR-18,YES,NO
FT_T_BCOR,,,0,0,09-MAY-17,YES,NO
FT_T_BDCH,,,0,0,08-MAR-18,YES,NO
FT_T_BDST,,,0,0,20-OCT-17,YES,NO
FT_T_BEDF,,,0,0,09-MAY-17,YES,NO
FT_T_BEVD,,,0,0,09-MAY-17,YES,NO
FT_T_BEVI,,,0,0,09-MAY-17,YES,NO
FT_T_BEVP,,,0,0,09-MAY-17,YES,NO
FT_T_BEVR,,,0,0,09-MAY-17,YES,NO
FT_T_BHEX,,,0,0,05-MAR-18,YES,NO
FT_T_BHST,,,0,0,09-MAY-17,YES,NO
FT_T_BKCA,,,0,0,09-MAY-17,YES,NO
FT_T_BKS1,,,0,0,20-OCT-17,YES,NO
FT_T_BLTR,,,0,0,09-MAY-17,YES,NO
FT_T_BLTS,,,0,0,09-MAY-17,YES,NO
FT_T_BNAN,,,0,0,09-MAY-17,YES,NO
FT_T_BNCC,,,0,0,09-MAY-17,YES,NO
FT_T_BNCH,,,225,225,05-MAR-18,YES,NO
FT_T_BNCL,,,319,319,13-FEB-18,YES,NO
FT_T_BNCM,,,9,9,22-NOV-17,YES,NO
FT_T_BNCS,,,0,0,09-MAY-17,YES,NO
FT_T_BNGP,,,0,0,09-MAY-17,YES,NO
FT_T_BNGR,,,0,0,09-MAY-17,YES,NO
FT_T_BNGU,,,0,0,09-MAY-17,YES,NO
FT_T_BNID,,,604,604,05-JUN-17,YES,NO
FT_T_BNIN,,,0,0,09-MAY-17,YES,NO
FT_T_BNMW,,,0,0,09-MAY-17,YES,NO
FT_T_BNPM,,,1,1,09-MAY-17,YES,NO
FT_T_BNPS,,,0,0,09-MAY-17,YES,NO
FT_T_BNPT,,,2489,2489,08-MAR-18,YES,NO
FT_T_BNRS,,,0,0,09-MAY-17,YES,NO
FT_T_BNRT,,,0,0,09-MAY-17,YES,NO
